version,fork,shape,size,ns,bytes,count,equivalent
current,3,array_mybatis,256,23556.287,58232,256,true
current,3,deep_unary,4096,427768,576664,1,true
current,3,where_positional,16,5734.082,5680,16,true
current,3,bare_concat,256,13599.482,10520,256,true
current,3,json_constructor,1,1307.520,1336,1,true
current,3,where_named,16,5811.865,9632,16,true
current,3,array_mybatis,4096,394721.739,1037720,4096,true
current,3,array_positional,8192,62017.881,213643.232,8192,true
current,3,bare_concat,1024,53765.385,46440,1024,true
current,3,where_named,2,1361.035,2032,2,true
current,3,join_positional,4,3773.926,4008,4,true
current,3,deep_unary,8192,849346.154,1199608.615,1,true
current,3,deep_unary,1024,108767.021,145574.723,1,true
current,3,array_named,8192,409258.333,986787.667,8192,true
current,3,array_positional,1024,6987.517,14968,1024,true
current,3,join_mybatis,4,4620.264,6688,4,true
current,3,bare_concat,4096,198386.792,158072,4096,true
current,3,join_named,4,3499.170,4392,4,true
current,3,where_positional,2,1409.717,1624,2,true
current,3,jdbc_escape,1,1455.664,1368,1,true
current,3,array_positional,4096,26127.793,57976,4096,true
current,3,bare_concat,8192,402524,450103.040,8192,true
current,3,where_mybatis,2,2012.451,3024,2,true
current,3,array_mybatis,8192,767666.667,2164430.667,8192,true
current,3,cached_positional_same,2,12.825,0,2,true
current,3,cached_positional_equal,2,16.708,0,2,true
current,3,cached_named_same,2,12.334,0,2,true
current,3,cached_named_equal,2,15.913,0,2,true
current,4,array_named,4096,199726.087,453056,4096,true
current,4,array_named,1024,48554.167,104680,1024,true
current,4,geometric_cast,1,1140.723,1088,1,true
current,4,array_named,8192,400926.316,986607.579,8192,true
current,4,bare_concat,256,14029.268,10520,256,true
current,4,array_positional,256,2303.936,4216,256,true
current,4,join_mybatis,4,4580.957,6688,4,true
current,4,join_positional,4,3836.279,4008,4,true
current,4,deep_unary,1024,108719.388,145400,1,true
current,4,where_positional,16,5904.883,5680,16,true
current,4,json_constructor,1,1338.477,1336,1,true
current,4,no_parameters,0,1043.945,1184,0,true
current,4,array_mybatis,8192,779400,2164430.667,8192,true
current,4,join_named,4,3438.477,4392,4,true
current,4,deep_unary,4096,419324,576664,1,true
current,4,quoted_and_comments,2,1698.242,1432,2,true
current,4,array_mybatis,1024,97978.431,280920,1024,true
current,4,json_operator,1,1467.676,1320,1,true
current,4,where_named,16,5919.775,9632,16,true
current,4,where_positional,128,41327.930,39944,128,true
current,4,deep_unary,256,27196.377,37560,1,true
current,4,jdbc_escape,1,1471.484,1368,1,true
current,4,array_positional,1024,7035.043,14968,1024,true
current,4,where_positional,2,1434.570,1624,2,true
current,4,array_named,256,12004.016,26440,256,true
current,4,where_mybatis,2,1975.879,3024,2,true
current,4,array_positional,8192,63873.585,213597.057,8192,true
