version,case,forks,median_ns,min_fork_ns,max_fork_ns,bytes_per_op,equivalent_results
baseline-control,select_parenthesized,3,449.582,439.549,452.431,896,true
before,select_parenthesized,1,455.727,455.727,455.727,1136,true
current,select_parenthesized,5,105.352,87.918,112.306,48,true
baseline,select_quotes,5,424.005,416.013,448.958,960,true
baseline-control,select_quotes,3,436.868,413.4,449.729,960,true
before,select_quotes,1,452.415,452.415,452.415,1200,true
current,select_quotes,5,21.177,19.455,26.608,48,true
baseline,select_simple,5,629.033,614.07,654.696,1440,true
baseline-control,select_simple,3,622.635,606.67,634.586,1440,true
before,select_simple,1,646.021,646.021,646.021,1680,true
current,select_simple,5,21.959,18.446,25.292,48,true
baseline,tokenize_array,5,11686.937,11335.01,12412.389,4248,true
baseline-control,tokenize_array,3,11573.514,10913.002,12030.841,4248,true
before,tokenize_array,1,2897.929,2897.929,2897.929,4248,true
current,tokenize_array,5,653.713,517.689,745.17,4248,true
baseline,tokenize_backslashes,5,388.756,349.907,404.372,488,true
baseline-control,tokenize_backslashes,3,359.065,314.914,379.861,488,true
before,tokenize_backslashes,1,279.357,279.357,279.357,488,true
current,tokenize_backslashes,5,219.957,205.315,233.523,344,true
baseline,tokenize_comments,5,3357.327,3195.916,6239.72,2464,true
baseline-control,tokenize_comments,3,3222.125,2864.347,3309.365,2464,true
before,tokenize_comments,1,1294.942,1294.942,1294.942,2464,true
current,tokenize_comments,5,1331.982,1230.606,1529.63,736,true
baseline,tokenize_custom,5,1506.248,1396.854,2308.936,600,true
baseline-control,tokenize_custom,3,1369.514,1342.769,1379.513,600,true
before,tokenize_custom,1,396.736,396.736,396.736,632,true
current,tokenize_custom,5,338.603,319.833,391.64,392,true
baseline,tokenize_dense_concat_1024,5,41323.748,40491.192,67934.862,7960,true
baseline-control,tokenize_dense_concat_1024,3,41001.86,39941.299,42789.401,7960,true
before,tokenize_dense_concat_1024,1,17471.611,17471.611,17471.611,7960,true
current,tokenize_dense_concat_1024,5,16842.347,15741.951,17590.472,7864,true
baseline,tokenize_dense_concat_256,5,10880.214,10425.36,16309.372,2200,true
baseline-control,tokenize_dense_concat_256,3,10632.709,10508.371,11804.149,2200,true
before,tokenize_dense_concat_256,1,4613.805,4613.805,4613.805,2200,true
current,tokenize_dense_concat_256,5,4290.866,4110.439,4906.563,2104,true
baseline,tokenize_dense_concat_4096,5,163181.102,159162.222,358889.147,31000,true
baseline-control,tokenize_dense_concat_4096,3,164410.687,163169.767,164563.158,31000,true
before,tokenize_dense_concat_4096,1,68121.384,68121.384,68121.384,31000,true
current,tokenize_dense_concat_4096,5,67042.378,60907.67,71387.5,30904,true
baseline,tokenize_dense_concat_8192,5,330880,321987.5,591903.077,61720,true
baseline-control,tokenize_dense_concat_8192,3,329932.308,313230.909,335663.636,61720,true
before,tokenize_dense_concat_8192,1,133626.452,133626.452,133626.452,61720,true
current,tokenize_dense_concat_8192,5,130703.012,124462.069,137031.056,61624,true
baseline,tokenize_hash_identifiers,5,63204.886,60182.258,66409.953,65528,true
baseline-control,tokenize_hash_identifiers,3,58913.333,58881.395,58944.345,65528,true
before,tokenize_hash_identifiers,1,8891.29,8891.29,8891.29,16576,true
current,tokenize_hash_identifiers,5,7483.198,6896.807,8394.2,1984,true
baseline,tokenize_hash_operator,5,109.883,95.204,119.789,104,true
baseline-control,tokenize_hash_operator,3,109.961,109.448,112.818,104,true
before,tokenize_hash_operator,1,38,38,38,152,true
current,tokenize_hash_operator,5,35.63,32.475,36.8,104,true
baseline,tokenize_hash_rows,5,1922554.545,1798283.333,2485275,331144,true
baseline-control,tokenize_hash_rows,3,1921818.182,1266731.25,1967890.909,331144,true
before,tokenize_hash_rows,1,9851.665,9851.665,9851.665,5768,true
current,tokenize_hash_rows,5,11180.69,9512.629,12435.101,2624,true
baseline,tokenize_keep_comments,5,4253.954,4106.829,5974.271,3504,true
baseline-control,tokenize_keep_comments,3,4107.05,3928.388,4351.653,3504,true
before,tokenize_keep_comments,1,2491.467,2491.467,2491.467,3504,true
current,tokenize_keep_comments,5,1530.42,1324.741,1598.816,1776,true
baseline,tokenize_large,5,53628.535,50332.933,74859.126,38120,true
baseline-control,tokenize_large,3,50759.045,48440.506,52869.175,38120,true
before,tokenize_large,1,25980.712,25980.712,25980.712,38120,true
current,tokenize_large,5,25115.924,23816.714,25471.817,25832,true
baseline,tokenize_long_quote,5,50753.01,45387.062,51447.283,17672,true
baseline-control,tokenize_long_quote,3,48641.93,43691.068,48782.488,17672,true
before,tokenize_long_quote,1,11439.386,11439.386,11439.386,17672,true
current,tokenize_long_quote,5,1647.494,1591.271,1760.703,17624,true
baseline,tokenize_mybatis,5,5427.473,5174.309,7128.52,5752,true
baseline-control,tokenize_mybatis,3,5163.972,5074.458,5629.069,5752,true
before,tokenize_mybatis,1,3480.09,3480.09,3480.09,5800,true
current,tokenize_mybatis,5,2879.327,2722.218,2926.514,3448,true
baseline,tokenize_mybatis_single,5,71.91,67.086,76.929,152,true
baseline-control,tokenize_mybatis_single,3,72.128,67.89,72.557,152,true
before,tokenize_mybatis_single,1,66.876,66.876,66.876,200,true
current,tokenize_mybatis_single,5,35.316,33.499,37.339,104,true
baseline,tokenize_simple,5,1214.867,1171.2,1877.078,1216,true
baseline-control,tokenize_simple,3,1137.548,1082.52,1194.293,1216,true
before,tokenize_simple,1,708.385,708.385,708.385,1216,true
current,tokenize_simple,5,651.689,598.785,677.249,976,true
baseline,tokenize_tiny,5,111.639,105.657,113.363,200,true
baseline-control,tokenize_tiny,3,113.416,97.114,119.303,200,true
before,tokenize_tiny,1,98.785,98.785,98.785,200,true
current,tokenize_tiny,5,67.875,61.29,69.008,152,true
baseline,tokenize_unicode,5,828.023,807.333,897.099,1088,true
baseline-control,tokenize_unicode,3,772.846,707.041,788.705,1088,true
before,tokenize_unicode,1,556.861,556.861,556.861,1168,true
current,tokenize_unicode,5,408.434,377.308,441.883,848,true
baseline,walk_bounds_comments,5,3401.389,3255.788,3507.245,0,true
baseline-control,walk_bounds_comments,3,3015.468,2992.261,3229.316,0,true
before,walk_bounds_comments,1,1378.795,1378.795,1378.795,1920,true
current,walk_bounds_comments,5,977.165,945.22,1071.797,0,true
