version,fork,shape,size,ns,bytes,count,equivalent
current,2,join_mybatis,4,4637.207,6688,4,true
current,2,where_named,16,6016.357,9680,16,true
current,2,deep_unary,256,28293.750,37768,1,true
current,2,json_operator,1,1566.064,1528,1,true
current,2,jdbc_escape,1,1542.139,1576,1,true
current,2,array_named,4096,214750,453104,4096,true
current,2,array_mybatis,1024,116237.500,280920,1024,true
current,2,array_positional,1024,10137.500,15016,1024,true
current,2,array_mybatis,256,25537.500,58232,256,true
current,2,array_mybatis,8192,845350,2158956,8192,true
current,2,bare_concat,4096,238450,158120,4096,true
current,2,where_named,2,1393.213,2080,2,true
current,2,geometric_cast,1,1141.016,1296,1,true
current,2,array_mybatis,4096,378300,1037720,4096,true
current,2,join_positional,4,3986.182,4056,4,true
current,2,array_named,1024,46487.500,104728,1024,true
current,2,array_positional,8192,82300,205588,8192,true
current,2,where_mybatis,2,2056.787,3024,2,true
current,2,bare_concat,1024,55487.500,46488,1024,true
current,2,deep_unary,4096,563950,576872,1,true
current,2,bare_concat,8192,431700,442596,8192,true
current,2,no_parameters,0,1447.998,1232,0,true
current,2,array_positional,4096,35400,58024,4096,true
current,2,where_positional,2,1495.898,1672,2,true
current,2,join_named,4,3560.547,4440,4,true
current,2,array_positional,256,4181.250,4264,256,true
current,2,json_constructor,1,1359.375,1384,1,true
current,2,cached_positional_same,2,12.465,0,2,true
current,2,cached_positional_equal,2,16.257,0,2,true
current,2,cached_named_same,2,11.976,0,2,true
current,2,cached_named_equal,2,16.190,0,2,true
current,3,deep_unary,256,29562.500,37768,1,true
current,3,array_named,4096,203650,453104,4096,true
current,3,quoted_and_comments,2,1730.957,1592,2,true
current,3,array_named,1024,47200,104728,1024,true
current,3,geometric_cast,1,1116.406,1296,1,true
current,3,where_positional,128,41400.684,39992,128,true
current,3,array_named,256,12840.625,26488,256,true
current,3,array_mybatis,1024,105050,280920,1024,true
current,3,no_parameters,0,1084.717,1232,0,true
current,3,json_operator,1,1690.088,1528,1,true
current,3,where_mybatis,16,11666.309,18040,16,true
current,3,array_positional,256,4750,4264,256,true
current,3,array_mybatis,256,24425,58232,256,true
current,3,deep_unary,4096,451300,576872,1,true
current,3,where_positional,16,5845.264,5728,16,true
current,3,bare_concat,256,14225,10568,256,true
current,3,json_constructor,1,1293.115,1384,1,true
current,3,where_named,16,5927.490,9680,16,true
current,3,array_mybatis,4096,399450,1037720,4096,true
current,3,array_positional,8192,74100,205588,8192,true
current,3,bare_concat,1024,52325,46488,1024,true
current,3,where_named,2,1334.375,2080,2,true
current,3,join_positional,4,3786.865,4056,4,true
current,3,deep_unary,8192,886300,1192868,1,true
current,3,deep_unary,1024,114587.500,147661,1,true
current,3,array_named,8192,406000,979308,8192,true
current,3,array_positional,1024,11087.500,15016,1024,true
current,3,join_mybatis,4,4842.480,6688,4,true
current,3,bare_concat,4096,196050,158120,4096,true
current,3,join_named,4,3536.523,4440,4,true
current,3,where_positional,2,1442.773,1672,2,true
current,3,jdbc_escape,1,1480.713,1576,1,true
current,3,array_positional,4096,37600,58024,4096,true
current,3,bare_concat,8192,412650,442596,8192,true
current,3,where_mybatis,2,1971.533,3024,2,true
current,3,array_mybatis,8192,768450,2158956,8192,true
current,3,cached_positional_same,2,12.445,0,2,true
current,3,cached_positional_equal,2,16.458,0,2,true
current,3,cached_named_same,2,12.053,0,2,true
current,3,cached_named_equal,2,16.179,0,2,true
current,4,array_named,4096,194100,453104,4096,true
current,4,array_named,1024,48150,104728,1024,true
current,4,geometric_cast,1,1138.086,1296,1,true
current,4,array_named,8192,431350,979308,8192,true
current,4,bare_concat,256,14615.625,10568,256,true
