version,case,forks,median_ns,min_fork_ns,max_fork_ns,bytes_per_op,equivalent_results
baseline,tokenize_keep_comments,5,5232.122,4152.004,5690.012,3504,true
baseline-control,tokenize_keep_comments,3,5701.728,4329.097,6186.619,3504,true
before,tokenize_keep_comments,1,2477.561,2477.561,2477.561,3504,true
current,tokenize_keep_comments,5,1371.777,1295.69,1980.538,1776,true
baseline,tokenize_large,5,66954.242,50607.346,76822.871,38120,true
baseline-control,tokenize_large,3,79315.152,57496.709,83410.39,38120,true
before,tokenize_large,1,26856.206,26856.206,26856.206,38120,true
current,tokenize_large,5,22729.064,22595.441,26184.88,25832,true
baseline,tokenize_long_quote,5,48475.886,43841.704,49336.848,17672,true
baseline-control,tokenize_long_quote,3,47434.483,41457.411,50634.892,17672,true
before,tokenize_long_quote,1,12505.377,12505.377,12505.377,17672,true
current,tokenize_long_quote,5,1920.984,1699.378,2156.277,17624,true
baseline,tokenize_mybatis,5,6190.631,5144.773,9592.338,5752,true
baseline-control,tokenize_mybatis,3,6705.488,5793.285,6742.522,5752,true
before,tokenize_mybatis,1,3520.523,3520.523,3520.523,5800,true
current,tokenize_mybatis,5,2622.979,2498.705,2680.631,3496,true
baseline,tokenize_simple,5,1417.358,1078.258,1780.673,1216,true
baseline-control,tokenize_simple,3,1559.694,1197.335,1642.387,1216,true
before,tokenize_simple,1,757.29,757.29,757.29,1216,true
current,tokenize_simple,5,596.314,573.704,788.805,976,true
baseline,tokenize_tiny,5,112.484,105.686,187.348,200,true
baseline-control,tokenize_tiny,3,103.828,96.509,104.914,200,true
before,tokenize_tiny,1,101.205,101.205,101.205,200,true
current,tokenize_tiny,5,65.966,61.665,69.762,152,true
baseline,tokenize_unicode,5,905.82,749.344,996.751,1088,true
baseline-control,tokenize_unicode,3,904.289,862.181,919.638,1088,true
before,tokenize_unicode,1,660.733,660.733,660.733,1168,true
current,tokenize_unicode,5,425.976,386.801,602.737,848,true
baseline,walk_bounds_comments,5,3088.784,2681.236,5903.426,0,true
baseline-control,walk_bounds_comments,3,4879.281,4636.925,5023.881,0,true
before,walk_bounds_comments,1,1022.09,1022.09,1022.09,1920,true
current,walk_bounds_comments,5,1000.674,872.97,1249.97,0,true
baseline,walk_bounds_hash,5,131662.13,128097.241,143403.448,127008,true
baseline-control,walk_bounds_hash,3,137892.742,123464.118,153633.577,127008,true
before,walk_bounds_hash,1,29964.771,29964.771,29964.771,43968,true
current,walk_bounds_hash,5,19800.499,18486.644,20765.67,7584,true
baseline,walk_bounds_large,5,42079.545,36233.521,85432.616,0,true
baseline-control,walk_bounds_large,3,72657.367,66507.203,72929.87,0,true
before,walk_bounds_large,1,17496.641,17496.641,17496.641,24768,true
current,walk_bounds_large,5,17029.837,15930.529,21934.192,0,true
baseline,walk_bounds_simple,5,808.756,778.763,1592.129,0,true
baseline-control,walk_bounds_simple,3,1373.928,1269.021,1731.998,0,true
before,walk_bounds_simple,1,418.569,418.569,418.569,816,true
current,walk_bounds_simple,5,502.096,404.886,576.523,0,true
baseline,walk_tokens_comments,5,8803.037,6440.575,10866.271,1920,true
baseline-control,walk_tokens_comments,3,9773.139,9736.755,13221.216,1920,true
before,walk_tokens_comments,1,3114.011,3114.011,3114.011,5760,true
current,walk_tokens_comments,5,2203.004,1805.417,2349.97,192,true
baseline,walk_tokens_hash,5,271744.068,250449.351,276407.317,255456,true
baseline-control,walk_tokens_hash,3,253725.843,249737.5,282171.429,255456,true
before,walk_tokens_hash,1,48906.25,48906.25,48906.25,89376,true
current,walk_tokens_hash,5,42444.211,38925.704,47560.984,15936,true
baseline,walk_tokens_large,5,124362.987,86061.622,186938.655,25792,true
baseline-control,walk_tokens_large,3,149676.596,138139.355,150365.333,25792,true
before,walk_tokens_large,1,61111.022,61111.022,61111.022,75328,true
current,walk_tokens_large,5,35705.57,34564.775,43364.859,13504,true
baseline,walk_tokens_simple,5,2670.117,1991.806,4763.476,816,true
baseline-control,walk_tokens_simple,3,3141.509,2820.259,3349.083,816,true
before,walk_tokens_simple,1,1555.44,1555.44,1555.44,2448,true
current,walk_tokens_simple,5,1004.973,920.219,1158.563,576,true
